Time Step,Susceptible,Infected,Recovered,Infected/Total
1,2496,4,0,0.0016
2,2493,6,1,0.0024
3,2490,8,2,0.0032
4,2486,11,3,0.0044
5,2481,16,3,0.0064
6,2478,18,4,0.0072
7,2471,23,6,0.0092
8,2463,30,7,0.012
9,2453,38,9,0.0152
10,2440,50,10,0.02
11,2425,61,14,0.0244
12,2412,67,21,0.0268
13,2401,71,28,0.0284
14,2391,75,34,0.03
15,2380,78,42,0.0312
16,2365,86,49,0.0344
17,2348,97,55,0.0388
18,2334,98,68,0.0392
19,2315,101,84,0.0404
20,2295,105,100,0.042
21,2277,110,113,0.044
22,2248,123,129,0.0492
23,2223,139,138,0.0556
24,2201,152,147,0.0608
25,2176,165,159,0.066
26,2146,175,179,0.07
27,2109,197,194,0.0788
28,2078,210,212,0.084
29,2057,213,230,0.0852
30,2034,211,255,0.0844
31,2008,215,277,0.086
32,1980,219,301,0.0876
33,1949,231,320,0.0924
34,1921,233,346,0.0932
35,1891,232,377,0.0928
36,1865,239,396,0.0956
37,1835,237,428,0.0948
38,1810,237,453,0.0948
39,1785,239,476,0.0956
40,1760,235,505,0.094
41,1737,238,525,0.0952
42,1704,254,542,0.1016
43,1667,269,564,0.1076
44,1641,263,596,0.1052
45,1615,263,622,0.1052
46,1579,275,646,0.11
47,1545,291,664,0.1164
48,1510,287,703,0.1148
49,1475,286,739,0.1144
50,1445,295,760,0.118
51,1414,298,788,0.1192
52,1382,307,811,0.1228
53,1349,309,842,0.1236
54,1307,311,882,0.1244
55,1272,307,921,0.1228
56,1240,303,957,0.1212
57,1206,304,990,0.1216
58,1177,301,1022,0.1204
59,1147,303,1050,0.1212
60,1118,299,1083,0.1196
61,1096,294,1110,0.1176
62,1073,291,1136,0.1164
63,1043,286,1171,0.1144
64,1016,293,1191,0.1172
65,978,297,1225,0.1188
66,946,301,1253,0.1204
67,916,303,1281,0.1212
68,883,305,1312,0.122
69,843,315,1342,0.126
70,797,325,1378,0.13
71,766,318,1416,0.1272
72,728,319,1453,0.1276
73,695,322,1483,0.1288
74,660,315,1525,0.126
75,619,321,1560,0.1284
76,589,320,1591,0.128
77,557,319,1624,0.1276
78,522,320,1658,0.128
79,477,342,1681,0.1368
80,435,349,1716,0.1396
81,398,353,1749,0.1412
82,361,356,1783,0.1424
83,337,346,1817,0.1384
84,307,338,1855,0.1352
85,279,325,1896,0.13
86,253,320,1927,0.128
87,223,319,1958,0.1276
88,192,317,1991,0.1268
89,170,307,2023,0.1228
90,151,300,2049,0.12
91,135,300,2065,0.12
92,117,290,2093,0.116
93,101,271,2128,0.1084
94,85,267,2148,0.1068
95,65,257,2178,0.1028
96,51,252,2197,0.1008
97,41,237,2222,0.0948
98,35,220,2245,0.088
99,29,207,2264,0.0828
100,25,192,2283,0.0768
101,20,169,2311,0.0676
102,18,159,2323,0.0636
103,16,141,2343,0.0564
104,12,127,2361,0.0508
105,9,115,2376,0.046
106,5,106,2389,0.0424
107,3,98,2399,0.0392
108,2,87,2411,0.0348
109,2,82,2416,0.0328
110,2,74,2424,0.0296
111,2,67,2431,0.0268
112,2,61,2437,0.0244
113,2,58,2440,0.0232
114,2,51,2447,0.0204
115,2,46,2452,0.0184
116,2,42,2456,0.0168
117,2,37,2461,0.0148
118,2,36,2462,0.0144
119,2,29,2469,0.0116
120,2,26,2472,0.0104
121,2,23,2475,0.0092
122,2,16,2482,0.0064
123,2,12,2486,0.0048
124,2,10,2488,0.004
125,2,10,2488,0.004
126,2,9,2489,0.0036
127,2,8,2490,0.0032
128,2,7,2491,0.0028
129,2,5,2493,0.002
130,2,5,2493,0.002
131,2,4,2494,0.0016
132,2,2,2496,8.0E-4
133,2,2,2496,8.0E-4
134,2,2,2496,8.0E-4
135,2,1,2497,4.0E-4
136,2,1,2497,4.0E-4
137,2,1,2497,4.0E-4
138,2,1,2497,4.0E-4
139,2,1,2497,4.0E-4
140,2,1,2497,4.0E-4
141,2,1,2497,4.0E-4
142,2,1,2497,4.0E-4
143,2,1,2497,4.0E-4
144,2,1,2497,4.0E-4
145,2,1,2497,4.0E-4
146,2,1,2497,4.0E-4
147,2,1,2497,4.0E-4
148,2,1,2497,4.0E-4
149,2,1,2497,4.0E-4
150,2,1,2497,4.0E-4
151,2,1,2497,4.0E-4
152,2,1,2497,4.0E-4
153,2,1,2497,4.0E-4
154,2,1,2497,4.0E-4
155,2,1,2497,4.0E-4
156,2,1,2497,4.0E-4
157,2,1,2497,4.0E-4
158,2,1,2497,4.0E-4
159,2,1,2497,4.0E-4
160,2,1,2497,4.0E-4
161,2,0,2498,0.0
162,2,0,2498,0.0
163,2,0,2498,0.0
164,2,0,2498,0.0
165,2,0,2498,0.0
166,2,0,2498,0.0
167,2,0,2498,0.0
168,2,0,2498,0.0
169,2,0,2498,0.0
170,2,0,2498,0.0
171,2,0,2498,0.0
172,2,0,2498,0.0
173,2,0,2498,0.0
174,2,0,2498,0.0
175,2,0,2498,0.0
176,2,0,2498,0.0
177,2,0,2498,0.0
178,2,0,2498,0.0
179,2,0,2498,0.0
180,2,0,2498,0.0
181,2,0,2498,0.0
182,2,0,2498,0.0
183,2,0,2498,0.0
184,2,0,2498,0.0
185,2,0,2498,0.0
186,2,0,2498,0.0
187,2,0,2498,0.0
188,2,0,2498,0.0
189,2,0,2498,0.0
190,2,0,2498,0.0
191,2,0,2498,0.0
192,2,0,2498,0.0
193,2,0,2498,0.0
194,2,0,2498,0.0
195,2,0,2498,0.0
196,2,0,2498,0.0
197,2,0,2498,0.0
198,2,0,2498,0.0
199,2,0,2498,0.0
200,2,0,2498,0.0
1,2498,1,1,4.0E-4
2,2495,3,2,0.0012
3,2494,1,5,4.0E-4
4,2493,1,6,4.0E-4
5,2492,1,7,4.0E-4
6,2490,2,8,8.0E-4
7,2487,3,10,0.0012
8,2484,4,12,0.0016
9,2480,5,15,0.002
